Unnamed: 0,target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
1482,4,0,-1.0,70.0,32,101,76,27.17721033096313,False
1483,8,4,-1.0,-1.0,100,101,82,49.68632507324219,False
1484,5,0,-1.0,60.0,39,101,65,29.144433975219727,False
1485,8,9,-1.0,-1.0,100,101,79,49.7180495262146,False
1486,10,8,1.0,20.0,93,101,59,53.57288646697998,False
1487,7,9,-1.0,60.0,28,101,74,25.50341773033142,False
1488,3,8,1.0,-1.0,55,101,88,39.25353956222534,False
1489,6,4,-1.0,40.0,41,101,68,30.55238938331604,False
1490,4,3,1.0,70.0,70,101,75,45.87961935997009,False
1491,6,1,-1.0,-1.0,100,101,66,49.61957836151123,False
1492,0,1,-1.0,50.0,30,101,78,25.74751591682434,False
1493,8,6,1.0,50.0,73,101,83,46.48750805854797,False
1494,8,2,-1.0,-1.0,100,101,84,49.77670812606812,False
1495,1,7,-1.0,20.0,32,101,81,26.779456615448,False
1496,9,0,-1.0,10.0,70,101,79,39.64285969734192,False
1497,2,3,-1.0,50.0,30,101,86,25.779292821884155,False
1498,3,4,1.0,60.0,77,101,83,48.0658495426178,False
1499,10,5,1.0,50.0,85,101,73,53.40122175216675,False
1500,5,0,-1.0,10.0,65,101,72,37.87816405296326,False
1501,7,6,1.0,40.0,84,101,71,49.78794503211975,False
1502,11,2,-1.0,50.0,37,101,67,28.361749410629272,False
1503,3,3,-1.0,50.0,33,101,86,26.79984998703003,False
1504,7,6,1.0,20.0,93,101,70,53.60349559783936,False
1505,3,2,-1.0,40.0,30,101,88,26.377647399902344,False
1506,7,0,1.0,40.0,82,101,73,48.88036894798279,False
1507,10,7,-1.0,70.0,39,101,73,29.691121578216556,False
1508,1,3,-1.0,-1.0,100,101,77,49.62944650650024,False
1509,9,5,-1.0,10.0,54,101,86,34.14152455329895,False
1510,2,8,-1.0,60.0,32,101,88,29.90828561782837,False
1511,10,3,1.0,40.0,86,101,81,50.59987688064575,False
1512,7,7,-1.0,70.0,32,101,65,27.186892986297607,False
1513,3,4,-1.0,50.0,38,101,86,28.62613034248352,False
1514,5,7,1.0,60.0,71,101,67,45.97869348526001,False
1515,8,1,-1.0,10.0,58,101,85,35.58785700798035,False
1516,0,6,-1.0,10.0,63,101,76,37.15809774398804,False
1517,9,9,1.0,20.0,92,101,79,53.382211446762085,False
1518,8,3,1.0,40.0,93,101,85,52.97069954872131,False
1519,9,7,-1.0,70.0,32,101,83,27.09888482093811,False
1520,8,8,1.0,10.0,93,101,77,53.17084574699402,False
1521,11,7,-1.0,30.0,30,101,65,26.39223051071167,False
1522,2,5,-1.0,10.0,66,101,83,38.32021951675415,False
1523,0,8,-1.0,50.0,28,101,70,25.11451244354248,False
1524,11,4,1.0,60.0,80,101,71,49.23278021812439,False
1525,0,0,-1.0,40.0,39,101,73,29.71645283699036,False
1526,9,5,-1.0,-1.0,100,101,82,49.77500510215759,False
1527,5,5,1.0,-1.0,49,101,72,36.97201681137085,False
1528,9,8,1.0,40.0,75,101,82,46.67745041847229,False
1529,7,9,-1.0,-1.0,100,101,75,49.70055675506592,False
1530,3,5,-1.0,60.0,32,101,85,26.78175401687622,False
1531,7,4,1.0,40.0,81,101,74,48.63973808288574,False
1532,10,2,1.0,60.0,81,101,74,49.430811166763306,False
1533,11,6,1.0,70.0,85,101,67,51.46435236930847,False
1534,9,9,1.0,60.0,72,101,81,46.55533218383789,False
1535,4,3,-1.0,40.0,42,101,78,30.839083433151245,False
1536,0,2,-1.0,50.0,32,101,66,26.468233823776245,False
1537,6,4,1.0,-1.0,65,101,68,42.75210428237915,False
1538,8,4,1.0,50.0,81,101,78,49.28753447532654,False
1539,3,8,-1.0,10.0,62,101,81,36.94031524658203,False
1540,9,6,1.0,70.0,87,101,85,51.9145576953888,False
1541,4,2,1.0,-1.0,59,101,76,40.5962302684784,False
1542,4,8,-1.0,-1.0,100,101,77,49.95610761642456,False
1543,10,0,-1.0,20.0,50,101,72,33.0362241268158,False
1544,7,2,-1.0,20.0,45,101,71,31.439062356948853,False
1545,4,4,1.0,10.0,89,101,82,51.614678621292114,False
1546,7,5,1.0,70.0,84,101,77,50.95852780342102,False
1547,9,5,-1.0,20.0,45,101,74,31.386839628219604,False
1548,9,2,-1.0,40.0,38,101,81,29.57807469367981,False
1549,1,6,-1.0,50.0,39,101,79,28.903414964675903,False
1550,0,1,-1.0,60.0,33,101,55,27.27239155769348,False
1551,10,8,1.0,50.0,83,101,71,49.74848198890686,False
1552,6,4,-1.0,-1.0,100,101,68,49.544185161590576,False
1553,9,4,-1.0,30.0,30,101,80,26.4225070476532,False
1554,7,5,-1.0,60.0,32,101,72,26.82855772972107,False
1555,2,9,-1.0,20.0,45,101,81,31.24260902404785,False
1556,8,1,-1.0,-1.0,100,101,86,49.85662698745728,False
1557,10,0,-1.0,10.0,49,101,81,32.25402903556824,False
1558,4,8,-1.0,30.0,37,101,83,28.80843496322632,False
1559,6,8,1.0,60.0,82,101,68,49.87163281440735,False
1560,10,7,1.0,30.0,93,101,75,54.01757860183716,False
1561,0,3,-1.0,-1.0,100,101,72,49.401883125305176,False
1562,8,4,1.0,10.0,93,101,79,56.395453691482544,False
1563,5,9,1.0,60.0,82,101,77,49.78610873222351,False
1564,4,4,-1.0,50.0,34,101,72,27.190436601638797,False
1565,9,7,-1.0,-1.0,100,101,82,49.72871279716492,False
1566,3,8,-1.0,70.0,26,101,84,25.188894987106323,False
1567,1,1,1.0,10.0,91,101,79,52.23343062400818,False
1568,8,4,1.0,20.0,93,101,78,53.6359121799469,False
1569,4,8,-1.0,60.0,23,101,73,23.71667623519897,False
1570,8,5,1.0,-1.0,78,101,76,47.25591397285461,False
1571,9,4,-1.0,20.0,54,101,89,34.60082650184631,False
1572,0,3,1.0,30.0,84,101,81,50.41181564331055,False
1573,11,6,1.0,-1.0,71,101,75,44.847471714019775,False
1574,0,7,-1.0,40.0,29,101,76,31.897392749786377,False
1575,4,5,-1.0,70.0,27,101,81,25.35137438774109,False
1576,1,3,-1.0,70.0,32,101,72,27.097585678100582,False
1577,4,2,-1.0,40.0,41,101,80,30.53232765197754,False
1578,7,4,1.0,10.0,94,101,79,53.41030764579773,False
1579,4,3,1.0,-1.0,67,101,74,43.41690015792847,False
1580,1,3,1.0,60.0,86,101,79,51.0579891204834,False
1581,0,7,-1.0,30.0,36,101,75,28.53435182571411,False
1582,2,6,1.0,20.0,85,101,90,50.66467809677124,False
1583,0,4,1.0,50.0,81,101,72,50.966071367263794,False
1584,7,1,-1.0,40.0,38,101,73,29.366679906845093,False
1585,7,7,-1.0,40.0,43,101,72,31.22257232666016,False
1586,4,5,-1.0,40.0,37,101,75,29.077734231948853,False
1587,11,4,1.0,70.0,73,101,71,47.15839052200317,False
1588,8,1,1.0,30.0,92,101,83,53.40117335319519,False
1589,5,0,-1.0,40.0,44,101,74,31.32016372680664,False
1590,0,4,-1.0,-1.0,100,101,78,49.500929832458496,False
1591,0,9,1.0,10.0,92,101,78,55.448790550231934,False
1592,11,9,-1.0,30.0,31,101,53,26.742600202560425,False
1593,11,5,-1.0,60.0,34,101,66,27.572664976119995,False
1594,7,5,-1.0,40.0,43,101,72,31.22314548492432,False
1595,9,5,1.0,40.0,75,101,81,46.59447693824768,False
1596,0,8,-1.0,60.0,28,101,70,25.47593593597412,False
1597,5,1,-1.0,70.0,32,101,70,27.05850315093994,False
1598,4,7,1.0,50.0,76,101,83,47.53620266914368,False
1599,6,4,1.0,30.0,95,101,70,54.45414113998413,False
1600,11,7,-1.0,20.0,36,101,64,28.31378126144409,False
1601,9,7,-1.0,60.0,34,101,84,27.511434078216556,False
1602,3,1,1.0,70.0,75,101,83,47.57716083526611,False
1603,7,0,-1.0,40.0,35,101,73,28.35672378540039,False
1604,0,9,1.0,-1.0,55,101,76,38.94288635253906,False
1605,3,7,-1.0,20.0,40,101,86,29.686811447143555,False
1606,6,2,-1.0,60.0,31,101,62,26.35398650169373,False
1607,9,3,-1.0,50.0,29,101,80,25.586555004119877,False
1608,3,0,-1.0,70.0,27,101,87,29.855522871017456,False
1609,11,0,1.0,10.0,84,101,73,49.829567432403564,False
1610,1,5,1.0,20.0,85,101,76,50.763577699661255,False
1611,8,1,1.0,60.0,66,101,82,43.98888897895813,False
1612,8,8,-1.0,50.0,32,101,84,26.608608961105347,False
1613,1,0,1.0,30.0,83,101,82,50.19653654098511,False
1614,1,6,1.0,50.0,72,101,78,45.76484155654907,False
1615,8,2,-1.0,10.0,68,101,83,39.03194546699524,False
1616,5,3,1.0,50.0,83,101,76,49.71851801872253,False
1617,8,0,1.0,-1.0,76,101,84,46.478896141052246,False
1618,0,8,1.0,60.0,70,101,67,45.53047513961792,False
1619,4,1,1.0,70.0,77,101,76,48.299522161483765,False
1620,8,4,1.0,30.0,81,101,77,49.634058237075806,False
1621,10,9,1.0,70.0,80,101,76,49.50479197502136,False
1622,0,6,1.0,70.0,82,101,79,50.21240615844727,False
1623,1,0,1.0,40.0,72,101,78,45.7404568195343,False
1624,8,6,1.0,10.0,94,101,78,53.54233336448669,False
1625,0,2,-1.0,30.0,48,101,72,32.685258626937866,False
1626,4,9,-1.0,40.0,31,101,71,26.990416049957275,False
1627,1,1,-1.0,70.0,24,101,74,24.37217140197754,False
1628,8,6,1.0,60.0,81,101,83,49.28952217102051,False
1629,3,5,1.0,30.0,82,101,88,49.97153401374817,False
1630,2,7,-1.0,10.0,73,101,88,40.79506349563599,False
1631,9,2,1.0,30.0,88,101,86,52.20885872840881,False
1632,11,9,-1.0,10.0,58,101,67,35.52167654037476,False
1633,11,1,-1.0,30.0,38,101,64,29.2659649848938,False
1634,7,8,-1.0,40.0,35,101,68,28.460317611694336,False
1635,2,7,-1.0,20.0,43,101,88,30.610110998153687,False
1636,6,1,-1.0,40.0,28,101,62,25.75227284431457,False
1637,1,7,-1.0,40.0,29,101,72,26.279550790786743,False
1638,10,4,-1.0,60.0,24,101,70,24.18774032592773,False
1639,3,2,-1.0,70.0,26,101,88,25.13939929008484,False
1640,6,5,1.0,40.0,87,101,71,51.52738213539124,False
1641,3,1,1.0,50.0,73,101,83,46.18751883506775,False
1642,1,0,1.0,-1.0,63,101,81,41.63134908676148,False
1643,6,0,-1.0,50.0,23,101,52,23.35531616210937,False
1644,6,5,1.0,50.0,83,101,67,50.10457921028137,False
1645,8,2,1.0,60.0,83,101,84,50.048187494277954,False
1646,2,0,1.0,-1.0,56,101,88,39.38379287719727,False
1647,10,1,-1.0,30.0,36,101,80,28.488194704055783,False
1648,0,6,1.0,10.0,87,101,69,50.83484792709351,False
1649,0,0,1.0,-1.0,71,101,64,46.59340310096741,False
1650,1,1,1.0,20.0,81,101,79,53.52096438407898,False
1651,5,4,1.0,-1.0,71,101,73,46.144662380218506,False
1652,5,8,1.0,50.0,79,101,72,48.38056540489197,False
1653,11,0,1.0,60.0,71,101,53,50.21443152427673,False
1654,6,1,1.0,40.0,66,101,69,44.12333703041077,False
1655,4,4,-1.0,-1.0,100,101,77,49.98440361022949,False
1656,5,5,1.0,50.0,81,101,78,49.0342915058136,False
1657,10,5,1.0,30.0,75,101,74,53.02271056175232,False
1658,6,6,1.0,30.0,85,101,72,56.51271390914917,False
1659,8,1,-1.0,50.0,43,101,79,32.0929651260376,False
1660,7,1,1.0,70.0,91,101,70,53.15198564529419,False
1661,9,8,-1.0,60.0,31,101,84,26.423739194869995,False
1662,11,9,1.0,30.0,89,101,62,52.53690552711487,False
1663,1,7,-1.0,-1.0,100,101,80,49.47560524940491,False
1664,5,1,-1.0,30.0,35,101,65,27.971576690673828,False
1665,10,6,-1.0,50.0,35,101,71,27.686574697494507,False
1666,8,0,1.0,10.0,94,101,83,53.27356028556824,False
1667,11,6,1.0,30.0,86,101,74,51.49758195877075,False
1668,2,4,1.0,10.0,92,101,81,52.7168390750885,False
1669,7,3,-1.0,70.0,33,101,69,27.449848413467407,False
1670,1,8,1.0,20.0,82,101,81,49.66474938392639,False
1671,0,7,1.0,30.0,80,101,71,49.01458907127381,False
1672,1,5,-1.0,-1.0,100,101,78,49.43632197380066,False
1673,10,9,-1.0,20.0,47,101,74,32.12791180610657,False
1674,5,8,-1.0,20.0,43,101,64,30.71458578109741,False
1675,4,5,1.0,10.0,94,101,80,56.517236948013306,False
1676,1,7,1.0,30.0,80,101,81,49.29799556732178,False
1677,6,3,1.0,70.0,82,101,71,49.986401081085205,False
1678,2,1,-1.0,40.0,38,101,86,29.28480076789856,False
1679,5,7,-1.0,20.0,50,101,74,33.17106246948242,False
1680,8,1,1.0,40.0,70,101,82,44.88683319091797,False
1681,0,9,1.0,60.0,68,101,73,44.68189787864685,False
1682,7,0,1.0,70.0,67,101,69,44.53472018241882,False
1683,4,8,-1.0,70.0,23,101,73,24.058568000793457,False
1684,11,8,-1.0,30.0,47,101,60,32.2915620803833,False
1685,6,2,1.0,60.0,74,101,66,51.025484561920166,False
1686,10,9,-1.0,70.0,23,101,70,24.12477135658264,False
1687,10,7,-1.0,20.0,55,101,69,34.92083501815796,False
1688,8,7,-1.0,70.0,39,101,66,29.6488196849823,False
1689,5,7,1.0,10.0,94,101,72,53.43405890464783,False
1690,9,8,-1.0,50.0,38,101,84,28.717533111572266,False
1691,11,5,-1.0,20.0,56,101,65,35.24852466583252,False
1692,2,4,-1.0,50.0,31,101,87,26.18593645095825,False
1693,2,5,-1.0,50.0,29,101,90,25.446404933929443,False
1694,9,9,-1.0,20.0,45,101,77,31.452884435653687,False
1695,4,6,1.0,60.0,87,101,79,55.47770667076111,False
1696,1,7,1.0,50.0,80,101,74,48.70941781997681,False
1697,8,1,-1.0,60.0,32,101,83,26.780584573745728,False
1698,1,9,-1.0,50.0,31,101,80,26.1931734085083,False
1699,5,3,-1.0,60.0,24,101,71,24.063066720962524,False
1700,2,1,1.0,10.0,86,101,83,53.51434922218323,False
1701,2,5,1.0,10.0,90,101,87,52.01895165443421,False
1702,9,4,-1.0,10.0,58,101,86,35.511385917663574,False
1703,5,4,1.0,70.0,72,101,69,46.54391551017761,False
1704,6,8,-1.0,30.0,45,101,69,31.70849823951721,False
1705,10,5,-1.0,70.0,20,101,74,23.06294012069702,False
1706,3,7,1.0,40.0,82,101,86,49.57364797592163,False
1707,0,5,-1.0,10.0,70,101,74,39.62196969985962,False
1708,1,2,-1.0,30.0,45,101,77,31.76401448249817,False
1709,4,8,-1.0,50.0,33,101,76,26.904150247573853,False
1710,8,7,1.0,10.0,88,101,82,51.38681936264038,False
1711,11,8,1.0,30.0,88,101,65,52.135202407836914,False
1712,10,9,1.0,-1.0,68,101,73,43.82295560836792,False
1713,7,6,1.0,70.0,71,101,76,46.474181175231934,False
1714,6,4,-1.0,70.0,30,101,66,26.4474036693573,False
1715,8,1,-1.0,70.0,25,101,84,24.813373804092407,False
1716,5,2,1.0,30.0,82,101,76,50.007476568222046,False
1717,5,8,1.0,-1.0,67,101,71,43.39996910095215,False
1718,2,4,1.0,60.0,52,101,81,39.108158588409424,False
1719,3,5,1.0,40.0,80,101,89,48.40226149559021,False
1720,6,6,-1.0,20.0,51,101,66,33.433685302734375,False
1721,4,9,1.0,40.0,76,101,76,46.96364831924439,False
1722,3,3,1.0,20.0,87,101,83,51.453545570373535,False
1723,9,6,-1.0,20.0,55,101,83,34.98266315460205,False
