target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
6,3,1.0,40.0,86,101,72,50.573185205459595,False
11,3,1.0,60.0,82,101,67,49.890263080596924,False
9,2,,,100,101,87,49.71479916572571,False
11,9,1.0,50.0,77,101,65,47.98317265510559,False
7,1,,10.0,64,101,75,37.66058111190796,False
6,3,1.0,,70,101,70,44.560282707214355,False
1,3,1.0,20.0,84,101,70,50.37408971786499,False
0,2,1.0,60.0,76,101,67,47.46273708343506,False
11,1,,70.0,24,101,70,24.354918003082275,False
4,1,1.0,30.0,76,101,72,47.83016586303711,False
0,3,1.0,40.0,86,101,78,50.79384732246399,False
10,4,1.0,10.0,92,101,79,52.79099655151367,False
3,1,1.0,60.0,73,101,83,50.635181188583374,False
3,0,,10.0,58,101,85,35.414594411849976,False
3,7,1.0,50.0,82,101,86,49.41085481643677,False
5,9,,30.0,40,101,68,34.82879877090454,False
2,3,,10.0,68,101,83,41.13711643218994,False
2,1,,30.0,30,101,86,26.3576557636261,False
11,3,,50.0,31,101,63,26.20194721221924,False
7,3,1.0,20.0,83,101,67,50.122782707214355,False
3,5,,50.0,40,101,85,30.643632650375366,False
10,0,1.0,30.0,85,101,80,51.05222129821777,False
5,2,,60.0,30,101,68,26.062554359436035,False
5,8,1.0,20.0,92,101,71,53.07779669761658,False
10,3,1.0,60.0,87,101,74,51.587414026260376,False
0,9,1.0,30.0,80,101,76,54.539987087249756,False
9,7,1.0,60.0,78,101,81,48.669806241989136,False
2,4,,30.0,43,101,87,30.947954654693604,False
3,7,,30.0,35,101,86,28.19904851913452,False
2,7,1.0,60.0,80,101,83,49.031389236450195,False
6,4,1.0,10.0,93,101,70,53.108376264572144,False
10,8,1.0,70.0,83,101,71,50.55481147766113,False
11,7,1.0,30.0,81,101,69,49.716110944747925,False
10,0,1.0,40.0,75,101,71,46.56601142883301,False
6,6,1.0,50.0,95,101,70,54.09672808647156,False
2,0,1.0,60.0,65,101,85,43.665894508361816,False
6,8,,60.0,32,101,71,26.864807605743408,False
1,9,1.0,60.0,79,101,76,48.77134990692139,False
11,2,1.0,10.0,95,101,65,57.36693549156189,False
7,7,,20.0,45,101,66,31.45715308189392,False
2,1,1.0,30.0,71,101,83,46.012306690216064,False
4,5,,20.0,52,101,74,33.76313829421997,False
6,3,,70.0,26,101,60,25.117830753326416,False
2,8,,30.0,42,101,88,30.661513090133667,False
10,5,1.0,70.0,80,101,73,49.48495960235596,False
2,0,,20.0,55,101,83,34.69204592704773,False
1,8,,20.0,45,101,80,31.269245147705078,False
2,2,1.0,40.0,84,101,85,49.68577170372009,False
6,7,,50.0,35,101,65,27.6959171295166,False
7,5,1.0,50.0,77,101,76,47.77267003059387,False
3,4,,70.0,27,101,86,25.625768899917603,False
0,7,,10.0,56,101,71,34.72631072998047,False
10,3,,40.0,51,101,67,32.249449014663696,False
7,5,1.0,20.0,88,101,75,51.93952131271362,False
8,4,1.0,70.0,76,101,78,48.08706784248352,False
11,4,,40.0,31,101,70,25.666117906570435,False
11,6,1.0,10.0,96,101,74,54.26919078826904,False
2,3,,70.0,36,101,86,28.459600687026978,False
2,5,1.0,30.0,80,101,87,49.103734493255615,False
6,0,1.0,,59,101,55,41.83221983909607,False
2,4,,,100,101,82,49.48254895210266,False
8,8,1.0,20.0,91,101,77,52.937127351760864,False
10,6,,60.0,30,101,73,26.159886121749878,False
5,9,1.0,70.0,78,101,77,48.95672106742859,False
3,5,1.0,50.0,80,101,89,48.741732358932495,False
4,0,1.0,30.0,76,101,79,47.71384286880493,False
0,5,1.0,20.0,83,101,72,49.80109977722168,False
1,0,,60.0,30,101,69,25.900189638137817,False
7,8,,50.0,33,101,71,26.788443088531494,False
0,7,1.0,,69,101,65,44.836379051208496,False
10,9,1.0,60.0,80,101,76,49.2055766582489,False
3,6,,40.0,29,101,85,26.419445037841797,False
3,5,,20.0,52,101,84,33.83306670188904,False
4,3,,30.0,42,101,78,30.536516189575195,False
4,9,1.0,10.0,93,101,77,53.10987401008606,False
9,1,,30.0,26,101,83,25.043633699417114,False
8,6,,10.0,59,101,77,35.91769862174988,False
8,7,1.0,60.0,76,101,81,47.45011806488037,False
4,2,1.0,10.0,90,101,80,51.98837614059448,False
1,0,1.0,10.0,92,101,82,52.40757989883423,False
7,4,,50.0,37,101,63,28.39649724960327,False
1,3,,30.0,39,101,76,29.610716819763184,False
8,3,1.0,70.0,78,101,87,48.75602197647095,False
2,4,,20.0,50,101,87,33.04207491874695,False
1,4,1.0,20.0,86,101,77,51.04086637496948,False
9,1,,70.0,28,101,74,25.692200183868408,False
6,2,,50.0,32,101,62,28.28202176094055,False
9,0,,40.0,31,101,81,33.04937243461609,False
1,4,,60.0,34,101,86,27.55781841278076,False
7,1,1.0,20.0,90,101,73,52.481013774871826,False
9,1,,,100,101,84,49.732755184173584,False
8,0,,30.0,38,101,86,28.972658395767212,False
2,9,1.0,10.0,87,101,86,50.970296144485474,False
6,8,,50.0,40,101,69,29.350378036499023,False
9,7,1.0,10.0,93,101,81,53.147911071777344,False
1,2,1.0,40.0,81,101,81,48.792596101760864,False
10,2,1.0,70.0,82,101,74,50.186023235321045,False
1,3,,60.0,27,101,72,25.120673418045044,False
10,1,,50.0,30,101,75,25.820887088775635,False
5,7,,60.0,30,101,73,26.108433485031128,False
0,4,1.0,10.0,97,101,69,54.32257962226868,False
0,6,1.0,,52,101,72,37.9877552986145,False
2,6,,,100,101,84,49.70749878883362,False
5,4,1.0,10.0,92,101,76,52.75272035598755,False
6,9,,70.0,19,101,60,22.666542768478394,False
11,3,,10.0,59,101,71,35.865171909332275,False
10,1,1.0,10.0,94,101,73,53.49972176551819,False
9,1,,10.0,56,101,82,34.83927655220032,False
6,7,,,100,101,65,49.616655111312866,False
3,6,,20.0,44,101,81,31.041094064712524,False
9,4,,50.0,27,101,81,24.893230676651,False
4,8,1.0,,64,101,70,43.62460684776306,False
9,8,,,100,101,82,49.74886751174927,False
8,5,1.0,30.0,88,101,76,52.04664063453674,False
7,2,,,100,101,67,49.67424654960632,False
2,4,1.0,70.0,52,101,81,39.43298816680908,False
8,6,1.0,70.0,81,101,83,49.74221181869507,False
1,7,1.0,20.0,83,101,81,49.98419642448425,False
11,0,,40.0,29,101,61,24.915650606155396,False
2,0,1.0,40.0,66,101,85,43.08735942840576,False
7,0,,60.0,26,101,71,24.536107301712036,False
0,3,1.0,60.0,86,101,78,51.04796814918518,False
0,0,,50.0,28,101,68,25.16584873199463,False
11,3,1.0,,77,101,59,46.96356725692749,False
5,2,1.0,20.0,77,101,76,47.886704444885254,False
3,8,1.0,60.0,79,101,90,48.88223314285278,False
9,2,1.0,60.0,81,101,86,49.24098467826843,False
1,4,1.0,70.0,71,101,79,46.20961928367615,False
3,8,1.0,10.0,90,101,90,51.8754448890686,False
10,6,,70.0,32,101,71,27.221629858016968,False
5,2,1.0,,66,101,76,42.99017405509949,False
